"left daughter","right daughter","split var","split point","status","prediction"
2,3,"medianacc.120",0.9741582075,1,NA
4,5,"queigsp.120",12.65,1,NA
6,7,"queigsp.30",2.50606194,1,NA
8,9,"maxnon.120",2.5264475,1,NA
10,11,"queigseqacc.120",0.202575261,1,NA
12,13,"varsp.120",0.6132025265,1,NA
14,15,"meanseqacc.30",0.443378478,1,NA
16,17,"meanseqacc.120",0.3174124095,1,NA
18,19,"maxseqsp.120",1.765003,1,NA
20,21,"qutweacc.120",0.090787011,1,NA
22,23,"medianacc.120",0.85002912,1,NA
24,25,"queigacc.120",1.932317,1,NA
26,27,"minacc.30",0.26780191,1,NA
0,0,NA,0,-1,"Bus"
28,29,"meansp.120",7.208333333,1,NA
30,31,"kurtacc.120",8.346455903,1,NA
32,33,"medianseqacc.120",0.1389733875,1,NA
34,35,"iqracc.120",0.3370970725,1,NA
36,37,"meanseqacc.120",0.0928890095,1,NA
38,39,"qutwenon.120",14.725,1,NA
0,0,NA,0,-1,"Car"
40,41,"queigsp.120",14.775,1,NA
42,43,"auto.corr.30",0.4682861205,1,NA
0,0,NA,0,-1,"Wait"
44,45,"iqrseqacc.120",0.7682128535,1,NA
46,47,"varacc.30",8.020246622,1,NA
48,49,"maxseqacc.120",8.02822835,1,NA
50,51,"twnnon.30",0.283610512,1,NA
0,0,NA,0,-1,"Bus"
52,53,"maxseqacc.120",0.437470186,1,NA
54,55,"qutwenon.30",0.425,1,NA
56,57,"auto.corr.120",0.5701240815,1,NA
58,59,"minacc.30",0.002279741,1,NA
60,61,"minsp.120",0.625,1,NA
62,63,"varseqsp.120",0.136137359,1,NA
64,65,"mediansp.120",0.0625,1,NA
66,67,"queignon.30",14.175,1,NA
68,69,"varseqacc.120",0.0366044565,1,NA
70,71,"qutweseqacc.30",0.040279132,1,NA
72,73,"meansp.120",7.0875,1,NA
74,75,"iqrnon.120",0.375,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Wait"
76,77,"mediansp.120",2,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
78,79,"iqrseqacc.120",0.0647186425,1,NA
80,81,"maxseqsp.120",0.125,1,NA
82,83,"minacc.120",7.9543e-05,1,NA
84,85,"auto.corr.120",0.5612467035,1,NA
86,87,"iqracc.30",0.4700807175,1,NA
88,89,"skewacc.120",2.9569536735,1,NA
0,0,NA,0,-1,"Wait"
90,91,"maxsp.120",2.125,1,NA
92,93,"minacc.30",0.05991705,1,NA
94,95,"queignon.120",8.5,1,NA
96,97,"minacc.30",0.22594763,1,NA
98,99,"qutwesp.120",4.475,1,NA
100,101,"meannon.120",6.9940629015,1,NA
102,103,"qutweacc.120",0.15062725,1,NA
104,105,"medianacc.30",0.3840090625,1,NA
106,107,"qutweseqacc.30",0.040471691,1,NA
108,109,"minseqacc.120",1.59e-07,1,NA
110,111,"varsp.120",40.448255865,1,NA
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
112,113,"queigseqacc.120",0.390660926,1,NA
114,115,"varseqsp.120",0.199860241,1,NA
0,0,NA,0,-1,"Rail"
116,117,"varacc.120",0.0305906325,1,NA
118,119,"qutwenon.120",0.26597679,1,NA
120,121,"skewseqacc.120",1.9148315445,1,NA
0,0,NA,0,-1,"Wait"
122,123,"queigseqacc.120",0.127503538,1,NA
124,125,"iqracc.30",0.623697045,1,NA
126,127,"maxacc.30",0.902390185,1,NA
128,129,"varseqacc.120",0.079037966,1,NA
130,131,"maxseqacc.120",1.347343207,1,NA
132,133,"meanseqsp.120",0.0493697475,1,NA
0,0,NA,0,-1,"Wait"
134,135,"queigseqacc.30",0.250527138,1,NA
136,137,"meansp.120",0.152083333,1,NA
138,139,"varseqsp.30",0.028628685,1,NA
140,141,"queigseqacc.120",1.007253745,1,NA
142,143,"minacc.120",0.013395698,1,NA
144,145,"mediansp.120",1.25,1,NA
146,147,"queigseqacc.120",0.1289659,1,NA
148,149,"qutweseqacc.30",0.041069223,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
150,151,"skewacc.120",4.7982244515,1,NA
152,153,"meansp.30",0.4041666665,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
154,155,"qutweacc.120",0.045015291,1,NA
0,0,NA,0,-1,"Rail"
156,157,"minseqacc.30",0.0017413285,1,NA
158,159,"varacc.120",0.0209852415,1,NA
160,161,"maxsp.120",12.375,1,NA
162,163,"varsp.120",3.025210084,1,NA
164,165,"meanseqsp.120",0.43802521,1,NA
166,167,"varseqacc.120",0.1363199785,1,NA
0,0,NA,0,-1,"Bus"
168,169,"minacc.120",0.0081910865,1,NA
170,171,"meanseqsp.120",0.5336134455,1,NA
172,173,"minsp.120",2.25,1,NA
174,175,"kurtseqacc.120",9.78933227,1,NA
176,177,"maxnon.30",15.125,1,NA
178,179,"queigacc.120",0.73875336,1,NA
180,181,"mediannon.120",8.25,1,NA
182,183,"entacc.30",0.2193961045,1,NA
184,185,"meannon.120",13.363773145,1,NA
186,187,"entseqacc.30",0.274509947,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
188,189,"medianseqacc.120",0.047690311,1,NA
0,0,NA,0,-1,"Bus"
190,191,"entacc.30",0.407948342,1,NA
0,0,NA,0,-1,"Wait"
