"left daughter","right daughter","split var","split point","status","prediction"
2,3,"maxsp.120",3.6569625,1,NA
4,5,"iqrseqacc.120",0.4452229,1,NA
6,7,"queignon.120",12.975,1,NA
8,9,"queigsp.30",0.401451008,1,NA
10,11,"meansp.120",1.6338461305,1,NA
12,13,"qutweseqacc.30",0.100093556,1,NA
14,15,"queigacc.120",0.311640688,1,NA
16,17,"iqrseqacc.120",0.0398361625,1,NA
18,19,"maxsp.120",1.125,1,NA
20,21,"queigsp.120",2.01789983,1,NA
22,23,"entacc.30",0.2772465485,1,NA
24,25,"varacc.120",0.04572698,1,NA
26,27,"maxnon.120",9.733747,1,NA
28,29,"varacc.120",0.0428236045,1,NA
30,31,"qutwesp.120",4.09007912,1,NA
32,33,"varseqsp.30",0.0193195815,1,NA
34,35,"skewacc.120",2.787811042,1,NA
36,37,"mediansp.30",0.25,1,NA
38,39,"queignon.30",2.125,1,NA
40,41,"minacc.120",0.000584116,1,NA
42,43,"qutweseqacc.120",0.065378228,1,NA
44,45,"varsp.30",0.1944997975,1,NA
0,0,NA,0,-1,"Wait"
46,47,"qutweseqacc.120",0.01913049,1,NA
48,49,"iqrsp.120",2.03125,1,NA
50,51,"queigsp.30",7.01639324,1,NA
52,53,"minnon.30",2.4022125,1,NA
54,55,"maxseqacc.120",2.288255492,1,NA
56,57,"iqracc.30",0.324413347,1,NA
58,59,"varacc.120",0.065742216,1,NA
60,61,"iqrnon.30",0.1249765,1,NA
62,63,"skewseqacc.120",6.363870051,1,NA
0,0,NA,0,-1,"Rail"
64,65,"meansp.120",0.0020833335,1,NA
66,67,"queigseqacc.120",0.453767171,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Rail"
68,69,"iqrsp.120",0.65625,1,NA
70,71,"minacc.30",0.078470523,1,NA
0,0,NA,0,-1,"Wait"
72,73,"qutweacc.120",0.0277638575,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
74,75,"minseqacc.120",3.8e-06,1,NA
76,77,"maxsp.30",11.375,1,NA
78,79,"meanseqacc.120",0.278016836,1,NA
80,81,"entacc.120",0.8706960015,1,NA
82,83,"meanacc.120",3.921194967,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Bus"
84,85,"meanseqsp.120",0.225184702,1,NA
86,87,"mediannon.120",19.875,1,NA
0,0,NA,0,-1,"Car"
88,89,"kurtseqacc.120",116.2117722,1,NA
0,0,NA,0,-1,"Rail"
90,91,"medianacc.30",0.201947485,1,NA
92,93,"medianacc.120",0.77416657,1,NA
0,0,NA,0,-1,"Rail"
94,95,"meanacc.30",0.1462592425,1,NA
0,0,NA,0,-1,"Wait"
96,97,"kurtseqacc.120",52.241133915,1,NA
98,99,"varseqacc.120",0.007369367,1,NA
100,101,"maxseqacc.30",0.4489927335,1,NA
102,103,"varseqacc.120",0.008730153,1,NA
104,105,"entseqacc.120",1.019167061,1,NA
106,107,"qutweacc.120",0.233161094,1,NA
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
108,109,"meansp.30",0.656368377,1,NA
0,0,NA,0,-1,"Wait"
110,111,"medianacc.30",1.961011,1,NA
112,113,"iqrsp.120",7.40625,1,NA
114,115,"meannon.120",2.7841145835,1,NA
116,117,"meansp.120",2.6635416665,1,NA
118,119,"meannon.120",9.29375,1,NA
120,121,"varseqacc.120",0.1037446495,1,NA
122,123,"meansp.120",0.353125,1,NA
124,125,"mediansp.30",10.8125,1,NA
126,127,"qutwenon.30",1.975,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
128,129,"maxseqsp.120",7,1,NA
130,131,"iqrsp.30",12.03125,1,NA
0,0,NA,0,-1,"Car"
132,133,"qutweacc.30",0.111527189,1,NA
0,0,NA,0,-1,"Rail"
134,135,"queigseqsp.30",1.525,1,NA
136,137,"minsp.120",1,1,NA
138,139,"mediansp.120",10.1875,1,NA
140,141,"queigsp.120",19.773759,1,NA
0,0,NA,0,-1,"Rail"
142,143,"queigseqsp.120",0.124983,1,NA
0,0,NA,0,-1,"Walk"
144,145,"kurtacc.120",79.760863415,1,NA
146,147,"minacc.120",0.0067624675,1,NA
148,149,"varseqacc.120",0.0672678625,1,NA
150,151,"minseqacc.30",3.525e-05,1,NA
152,153,"meanacc.120",0.324652823,1,NA
154,155,"minacc.30",0.067461595,1,NA
156,157,"skewacc.120",4.9832156945,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
158,159,"entseqacc.30",0.552445072,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
160,161,"queignon.120",1.9876254,1,NA
