"left daughter","right daughter","split var","split point","status","prediction"
2,3,"queigacc.120",1.9501793,1,NA
4,5,"queignon.120",14.125,1,NA
6,7,"queignon.30",2.8620729,1,NA
8,9,"varseqsp.120",0.075576841,1,NA
10,11,"medianacc.120",0.17597309,1,NA
12,13,"mediannon.30",1.875,1,NA
14,15,"queignon.120",6.625,1,NA
16,17,"qutweseqacc.120",0.076252948,1,NA
18,19,"iqracc.120",0.1730438645,1,NA
20,21,"meanseqacc.120",0.103273568,1,NA
22,23,"maxacc.120",1.72091535,1,NA
24,25,"iqrseqacc.120",0.5503061605,1,NA
26,27,"queigsp.30",2.42188624,1,NA
0,0,NA,0,-1,"Bicycle"
28,29,"minseqacc.120",3.65e-07,1,NA
30,31,"queigseqacc.120",0.434921696,1,NA
32,33,"meansp.120",0.7479166665,1,NA
34,35,"varacc.120",0.0241799585,1,NA
36,37,"queigacc.120",1.58118952,1,NA
38,39,"meanacc.120",0.237671865,1,NA
40,41,"entseqacc.120",0.5632949495,1,NA
42,43,"kurtseqacc.120",8.35335352,1,NA
44,45,"entacc.120",0.564512407,1,NA
46,47,"skewseqacc.120",5.125128435,1,NA
48,49,"iqrnon.120",1.246743875,1,NA
50,51,"varseqsp.120",0.0135842475,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
52,53,"mediansp.30",0.25,1,NA
54,55,"queigsp.30",3,1,NA
56,57,"skewacc.120",1.64602345,1,NA
0,0,NA,0,-1,"Bicycle"
58,59,"meanseqacc.120",0.0957387985,1,NA
60,61,"minsp.30",0.125,1,NA
62,63,"minsp.30",3.2148123,1,NA
64,65,"skewseqacc.120",5.0141839205,1,NA
66,67,"maxseqacc.120",1.86310721,1,NA
0,0,NA,0,-1,"Car"
68,69,"mediansp.120",19.625,1,NA
70,71,"mediannon.120",12.4375,1,NA
72,73,"qutwesp.120",3.9,1,NA
74,75,"entseqacc.120",0.6037123985,1,NA
76,77,"queigacc.120",1.76579898,1,NA
78,79,"minacc.120",0.0031733815,1,NA
80,81,"meannon.30",0.625,1,NA
0,0,NA,0,-1,"Wait"
82,83,"mediannon.120",2.125,1,NA
84,85,"varacc.120",5.212744237,1,NA
0,0,NA,0,-1,"Wait"
86,87,"maxsp.120",2.75,1,NA
88,89,"medianseqacc.120",0.029790655,1,NA
90,91,"medianacc.30",0.4539442225,1,NA
92,93,"iqrseqacc.30",0.480310474,1,NA
0,0,NA,0,-1,"Bicycle"
94,95,"qutweacc.30",0.389611562,1,NA
96,97,"varacc.30",7.5013920045,1,NA
98,99,"medianacc.120",0.340827065,1,NA
100,101,"queigseqsp.120",0.625,1,NA
102,103,"varsp.120",27.01341693,1,NA
104,105,"queigseqsp.30",0.125,1,NA
106,107,"meanacc.30",0.5122749385,1,NA
108,109,"medianseqacc.30",0.10636103,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
110,111,"maxnon.120",18,1,NA
0,0,NA,0,-1,"Car"
112,113,"mediansp.120",6.6875,1,NA
114,115,"qutweseqacc.30",0.041100993,1,NA
116,117,"varseqsp.120",0.1695093295,1,NA
118,119,"minseqacc.30",0.0002024,1,NA
120,121,"qutweacc.30",0.070111609,1,NA
0,0,NA,0,-1,"Rail"
122,123,"queigacc.30",0.216071119,1,NA
0,0,NA,0,-1,"Bus"
124,125,"medianseqacc.120",0.10763974,1,NA
126,127,"minacc.30",0.0058983565,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Walk"
128,129,"entseqacc.30",1.663637082,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
130,131,"maxnon.120",2.125,1,NA
132,133,"skewacc.120",1.9950250415,1,NA
134,135,"iqrnon.120",0.125,1,NA
136,137,"meanseqacc.120",0.2476456045,1,NA
138,139,"varacc.30",0.3145604905,1,NA
140,141,"minacc.30",0.001447455,1,NA
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
142,143,"meannon.30",1.2319444445,1,NA
144,145,"iqrseqacc.120",0.07986355,1,NA
146,147,"qutweseqacc.120",0.0250044325,1,NA
148,149,"maxacc.30",1.1697536,1,NA
150,151,"maxseqacc.120",1.76545215,1,NA
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
152,153,"medianacc.30",0.18013174,1,NA
154,155,"mediansp.120",7.0625,1,NA
156,157,"maxnon.120",7.53986835,1,NA
158,159,"medianacc.120",0.24424945,1,NA
160,161,"iqrsp.120",2.3125,1,NA
162,163,"minacc.120",0.004509792,1,NA
0,0,NA,0,-1,"Rail"
164,165,"qutwesp.120",0.25,1,NA
166,167,"queigseqsp.30",0.3,1,NA
168,169,"medianseqacc.30",0.12122577,1,NA
