"left daughter","right daughter","split var","split point","status","prediction"
2,3,"queigacc.120",1.97555575,1,NA
4,5,"iqrsp.120",0.797783525,1,NA
6,7,"meansp.120",1.673794863,1,NA
8,9,"qutwesp.120",2.5836985,1,NA
10,11,"meansp.120",8.08125,1,NA
12,13,"varsp.30",0.7533045975,1,NA
14,15,"qutweacc.120",0.617916555,1,NA
16,17,"iqrseqacc.120",0.44517444,1,NA
18,19,"queigacc.120",0.778085294,1,NA
20,21,"queigacc.30",0.344130014,1,NA
22,23,"medianseqacc.120",0.097355564,1,NA
24,25,"kurtseqacc.120",46.421831945,1,NA
26,27,"iqrsp.120",1.7523109375,1,NA
28,29,"iqrnon.120",3.15625,1,NA
30,31,"queigsp.120",3,1,NA
32,33,"varseqsp.120",0.0719582325,1,NA
34,35,"minacc.120",0.002137928,1,NA
36,37,"meanacc.120",0.328702536,1,NA
0,0,NA,0,-1,"Bicycle"
38,39,"maxseqacc.120",1.51814275,1,NA
40,41,"iqrsp.120",12.84375,1,NA
42,43,"qutweacc.120",0.0579428325,1,NA
44,45,"medianseqacc.120",0.4126831875,1,NA
46,47,"mediannon.120",2.0625,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
48,49,"varseqacc.120",1.3007004955,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Walk"
50,51,"varsp.120",12.9160452015,1,NA
52,53,"qutwesp.30",0.25,1,NA
54,55,"iqrnon.120",1.0625,1,NA
0,0,NA,0,-1,"Wait"
56,57,"meannon.120",1.49375,1,NA
0,0,NA,0,-1,"Rail"
58,59,"maxnon.30",14.5,1,NA
60,61,"queigsp.30",2.65,1,NA
62,63,"meanseqsp.30",0.150862069,1,NA
64,65,"queigseqacc.120",0.587310925,1,NA
66,67,"iqrseqacc.30",0.0612357515,1,NA
68,69,"varseqacc.120",0.040886189,1,NA
70,71,"meannon.120",15.323330685,1,NA
72,73,"queigsp.120",12.65,1,NA
0,0,NA,0,-1,"Bus"
74,75,"meanseqacc.30",0.200662983,1,NA
76,77,"minnon.30",0.25,1,NA
0,0,NA,0,-1,"Bicycle"
78,79,"maxsp.30",2.375,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bus"
80,81,"kurtacc.30",6.1657880775,1,NA
82,83,"meanseqacc.120",0.241279557,1,NA
84,85,"iqrseqacc.120",0.169030176,1,NA
86,87,"medianacc.120",0.0268440535,1,NA
88,89,"iqrnon.120",0.766700415,1,NA
90,91,"minseqacc.120",0.00038519,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
92,93,"maxsp.120",11.125,1,NA
94,95,"varseqsp.120",0.1128979135,1,NA
96,97,"medianseqacc.30",0.0203852675,1,NA
98,99,"minacc.30",0.0053004595,1,NA
100,101,"qutwesp.30",4.2489191,1,NA
102,103,"maxnon.30",7.1046745,1,NA
104,105,"entacc.120",0.073186996,1,NA
106,107,"twnnon.30",16.5,1,NA
0,0,NA,0,-1,"Rail"
108,109,"meansp.30",10.7375,1,NA
110,111,"qutwesp.120",1.325,1,NA
0,0,NA,0,-1,"Car"
112,113,"maxseqacc.30",3.24463608,1,NA
114,115,"maxnon.120",23.25,1,NA
116,117,"queigacc.30",0.588282311,1,NA
