"left daughter","right daughter","split var","split point","status","prediction"
2,3,"meanseqacc.120",0.676618878,1,NA
4,5,"mediannon.120",10.49515625,1,NA
6,7,"meansp.30",2.5225917535,1,NA
8,9,"varseqsp.120",0.109817868,1,NA
10,11,"maxnon.120",23.125,1,NA
12,13,"queigsp.120",2.13103065,1,NA
14,15,"mediansp.30",8,1,NA
16,17,"twnnon.30",1.6,1,NA
18,19,"iqracc.30",0.208630295,1,NA
20,21,"varacc.120",0.046382299,1,NA
22,23,"varacc.120",0.0215635265,1,NA
24,25,"queignon.120",1.9876254,1,NA
26,27,"iqrnon.120",0.875,1,NA
0,0,NA,0,-1,"Bicycle"
28,29,"meanacc.120",1.0372171965,1,NA
30,31,"entseqacc.120",1.045527208,1,NA
32,33,"maxseqacc.30",0.98976783,1,NA
34,35,"varseqacc.120",0.0088119025,1,NA
36,37,"maxnon.30",16.625,1,NA
38,39,"mediansp.120",0.6875,1,NA
40,41,"mediannon.120",16.9375,1,NA
42,43,"maxseqacc.120",1.08258758,1,NA
0,0,NA,0,-1,"Car"
44,45,"meanacc.120",0.921888437,1,NA
46,47,"medianseqacc.30",0.4160423275,1,NA
48,49,"maxsp.120",2.375,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
50,51,"varseqacc.30",0.1299123205,1,NA
52,53,"qutweseqacc.30",0.065616057,1,NA
54,55,"qutwesp.120",0.6,1,NA
56,57,"maxnon.120",3.25,1,NA
58,59,"medianacc.120",0.33410635,1,NA
60,61,"kurtacc.120",85.48458519,1,NA
62,63,"iqrnon.30",0.9210682125,1,NA
64,65,"meanacc.120",0.2099451395,1,NA
66,67,"queigsp.120",4.875,1,NA
68,69,"meanseqacc.120",0.173938809,1,NA
70,71,"meansp.120",10.269791665,1,NA
72,73,"iqracc.120",0.1977260175,1,NA
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Wait"
74,75,"medianseqacc.120",0.270479995,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
76,77,"iqracc.120",0.22095699,1,NA
78,79,"maxnon.120",3.125,1,NA
80,81,"minsp.120",0.5,1,NA
82,83,"meansp.120",0.0052083335,1,NA
84,85,"medianseqacc.30",0.060906362,1,NA
86,87,"queigseqacc.120",0.271220026,1,NA
88,89,"varseqacc.30",0.080691333,1,NA
90,91,"queignon.30",8.15,1,NA
92,93,"skewseqacc.120",1.374702286,1,NA
94,95,"varacc.120",0.013475013,1,NA
96,97,"varsp.120",16.63525035,1,NA
98,99,"qutweacc.120",0.070070027,1,NA
100,101,"qutweseqacc.120",0.081238886,1,NA
102,103,"maxnon.120",17.875,1,NA
0,0,NA,0,-1,"Rail"
104,105,"maxseqacc.30",5.73562294,1,NA
0,0,NA,0,-1,"Rail"
106,107,"entacc.120",0.0969634415,1,NA
108,109,"minacc.120",0.0081910865,1,NA
110,111,"kurtacc.30",4.1715827955,1,NA
112,113,"queigacc.120",1.4499669,1,NA
114,115,"varseqsp.120",0.153503774,1,NA
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
116,117,"queigseqacc.120",0.797806302,1,NA
118,119,"maxnon.120",2.95493005,1,NA
120,121,"minnon.120",0.125,1,NA
122,123,"maxnon.120",3.125,1,NA
124,125,"queigseqacc.30",0.79550925,1,NA
126,127,"queigseqacc.120",0.35034385,1,NA
128,129,"meansp.120",0.219209105,1,NA
0,0,NA,0,-1,"Walk"
130,131,"meanseqacc.120",0.293228146,1,NA
0,0,NA,0,-1,"Walk"
