"left daughter","right daughter","split var","split point","status","prediction"
2,3,"meanacc.30",1.625732029,1,NA
4,5,"medianseqsp.30",0.0926863,1,NA
6,7,"minsp.30",1.6655694,1,NA
8,9,"medianacc.120",0.48801407,1,NA
10,11,"qutwesp.120",4.7631215,1,NA
12,13,"maxsp.120",3.875,1,NA
14,15,"iqrsp.120",0.125,1,NA
16,17,"meanseqsp.120",0.0966386555,1,NA
18,19,"iqrseqacc.120",0.8781507805,1,NA
20,21,"iqracc.120",0.196607252,1,NA
22,23,"meansp.120",9.4052083335,1,NA
24,25,"skewseqacc.120",5.0193897965,1,NA
26,27,"maxsp.120",10.457997,1,NA
28,29,"meannon.30",2.375,1,NA
30,31,"queignon.120",9.625,1,NA
32,33,"minnon.30",2.375,1,NA
34,35,"queignon.120",10.975,1,NA
36,37,"varsp.120",6.339557073,1,NA
38,39,"maxnon.30",2.5,1,NA
40,41,"varseqacc.120",0.013747284,1,NA
42,43,"maxnon.120",15.875,1,NA
44,45,"iqrseqsp.120",0.43732525,1,NA
46,47,"medianseqsp.120",0.086794,1,NA
48,49,"entacc.120",0.8778665395,1,NA
50,51,"iqrseqacc.120",0.704728945,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bus"
52,53,"queigacc.120",0.93514928,1,NA
54,55,"meanseqacc.30",0.1776571435,1,NA
56,57,"meanseqacc.120",0.081876157,1,NA
58,59,"maxacc.120",1.61681845,1,NA
60,61,"qutwesp.30",1.375,1,NA
62,63,"maxsp.120",17.900031,1,NA
64,65,"maxnon.30",2,1,NA
0,0,NA,0,-1,"Bicycle"
66,67,"qutweacc.120",0.229618515,1,NA
68,69,"meanacc.120",0.4364879165,1,NA
70,71,"varsp.30",0.506106322,1,NA
72,73,"meanacc.120",0.230956485,1,NA
74,75,"kurtacc.120",19.057294205,1,NA
76,77,"meanseqacc.30",0.1576650995,1,NA
78,79,"meanacc.30",0.3625455295,1,NA
80,81,"meanacc.120",0.152050441,1,NA
82,83,"queignon.30",2.1557764,1,NA
84,85,"queigacc.120",1.58706809,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
86,87,"minacc.120",0.053485545,1,NA
88,89,"entacc.30",0.436026464,1,NA
0,0,NA,0,-1,"Rail"
90,91,"queignon.30",2.625,1,NA
92,93,"entseqacc.120",0.791029239,1,NA
94,95,"qutweacc.30",0.022878508,1,NA
96,97,"meanacc.120",0.435944028,1,NA
98,99,"qutweseqacc.30",0.041433612,1,NA
100,101,"maxsp.120",2.4014475,1,NA
102,103,"maxseqsp.120",0.03857395,1,NA
104,105,"varseqsp.120",0.3379781695,1,NA
106,107,"skewseqacc.30",3.9083638385,1,NA
108,109,"varsp.120",0.899621411,1,NA
110,111,"meanseqacc.30",0.7133988245,1,NA
112,113,"minacc.120",0.00040597,1,NA
114,115,"medianseqsp.30",0.5,1,NA
116,117,"maxacc.120",2.33881655,1,NA
118,119,"varsp.120",31.10957195,1,NA
120,121,"queigacc.120",0.81165666,1,NA
122,123,"qutweacc.30",0.358271088,1,NA
124,125,"qutweacc.120",0.033988277,1,NA
126,127,"varsp.120",31.354718135,1,NA
128,129,"meansp.30",5.4833333335,1,NA
0,0,NA,0,-1,"Rail"
130,131,"varseqsp.120",0.2097324095,1,NA
132,133,"meanacc.30",0.6691735885,1,NA
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
134,135,"varseqacc.30",0.0058835,1,NA
136,137,"iqrnon.120",1.54424164,1,NA
138,139,"meannon.120",1.5507462685,1,NA
0,0,NA,0,-1,"Wait"
140,141,"iqrnon.30",0.6463768125,1,NA
142,143,"entacc.120",0.312570925,1,NA
144,145,"skewacc.30",1.0256264455,1,NA
146,147,"meanacc.30",0.6765524795,1,NA
148,149,"qutweseqacc.120",0.013669151,1,NA
150,151,"queigseqacc.30",0.391528401,1,NA
152,153,"varacc.120",0.134905564,1,NA
154,155,"auto.corr.120",0.6722859775,1,NA
156,157,"queigsp.120",1.275,1,NA
158,159,"entseqacc.30",0.300112139,1,NA
160,161,"maxnon.120",14.000663,1,NA
162,163,"qutweacc.30",0.310832717,1,NA
164,165,"varseqacc.120",0.0391962155,1,NA
166,167,"queigsp.120",13.4,1,NA
168,169,"entacc.30",0.1205911465,1,NA
170,171,"minacc.120",0.0842017375,1,NA
172,173,"minacc.30",0.171323275,1,NA
174,175,"twnnon.30",2.375,1,NA
176,177,"meanacc.30",0.5417770625,1,NA
178,179,"medianseqsp.120",0.1287845,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Walk"
180,181,"varseqsp.30",0.022937192,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
182,183,"auto.corr.120",0.1105977315,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
184,185,"kurtseqacc.120",24.992688165,1,NA
186,187,"queignon.120",11.4,1,NA
188,189,"maxsp.30",8.875,1,NA
0,0,NA,0,-1,"Car"
190,191,"medianacc.120",0.31094015,1,NA
0,0,NA,0,-1,"Bicycle"
192,193,"iqracc.120",0.383216125,1,NA
194,195,"iqrnon.30",1.21875,1,NA
196,197,"maxacc.30",1.63772728,1,NA
198,199,"entseqacc.120",0.6197925995,1,NA
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
