"left daughter","right daughter","split var","split point","status","prediction"
2,3,"queigacc.120",1.91998538,1,NA
4,5,"iqrnon.120",1.21875,1,NA
6,7,"meannon.30",1.887878788,1,NA
8,9,"maxsp.120",3.5317402,1,NA
10,11,"meanacc.120",0.227974644,1,NA
12,13,"maxnon.120",3.6569625,1,NA
14,15,"meanseqacc.120",0.6226464325,1,NA
16,17,"meanseqacc.120",0.312495519,1,NA
18,19,"queigacc.30",0.68679349,1,NA
20,21,"queigsp.120",5.675,1,NA
22,23,"meannon.30",9.9858367935,1,NA
24,25,"iqrseqacc.120",0.6196092665,1,NA
26,27,"iqrnon.120",0.625,1,NA
0,0,NA,0,-1,"Bus"
28,29,"varsp.120",0.01314299,1,NA
30,31,"skewacc.120",2.1877775555,1,NA
32,33,"skewseqacc.120",4.6029383175,1,NA
34,35,"meanacc.30",0.291795607,1,NA
36,37,"queignon.30",7.375,1,NA
38,39,"meanacc.30",0.23264201,1,NA
40,41,"varseqacc.120",0.0282808385,1,NA
42,43,"meanseqacc.120",0.5925761125,1,NA
44,45,"meannon.120",10.822349425,1,NA
46,47,"qutweseqacc.30",0.1104337,1,NA
48,49,"maxnon.120",2.5264475,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
50,51,"entseqacc.120",0.5377765665,1,NA
52,53,"maxnon.30",2.375,1,NA
54,55,"maxacc.120",0.65729945,1,NA
56,57,"mediansp.30",0.1875,1,NA
58,59,"minacc.120",0.001134935,1,NA
60,61,"entseqacc.120",0.95736933,1,NA
62,63,"medianacc.120",0.2447720125,1,NA
64,65,"skewacc.30",3.305407913,1,NA
66,67,"medianacc.120",0.427779605,1,NA
68,69,"varseqacc.120",0.6598455105,1,NA
70,71,"maxseqsp.30",1.375,1,NA
72,73,"qutwenon.30",4.25,1,NA
74,75,"qutwenon.30",20.85,1,NA
76,77,"queigsp.120",9.775,1,NA
78,79,"medianseqsp.120",0.21770785,1,NA
80,81,"medianseqacc.30",0.133844755,1,NA
82,83,"varseqacc.30",0.2538052975,1,NA
84,85,"varsp.30",0.018283046,1,NA
86,87,"varseqacc.120",1.142515305,1,NA
0,0,NA,0,-1,"Walk"
88,89,"mediansp.120",1.875,1,NA
90,91,"medianacc.120",1.5287749,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bicycle"
92,93,"kurtacc.120",2.901481452,1,NA
94,95,"maxacc.120",2.2431229,1,NA
96,97,"meannon.120",1.1399449025,1,NA
98,99,"meanseqsp.120",0.0493697475,1,NA
0,0,NA,0,-1,"Wait"
100,101,"auto.corr.30",0.0791206315,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
102,103,"meanacc.120",0.312487244,1,NA
104,105,"iqrseqacc.30",0.0887889125,1,NA
106,107,"iqracc.30",0.3146967175,1,NA
0,0,NA,0,-1,"Rail"
108,109,"medianseqacc.30",0.180252775,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Wait"
110,111,"varseqacc.120",0.0080706605,1,NA
112,113,"maxacc.30",1.0287208,1,NA
0,0,NA,0,-1,"Bus"
114,115,"entacc.120",0.7795528175,1,NA
116,117,"queigacc.120",0.39856415,1,NA
0,0,NA,0,-1,"Car"
118,119,"iqrsp.120",3.625,1,NA
120,121,"iqracc.120",0.16559547,1,NA
122,123,"meanseqsp.120",0.1239495795,1,NA
124,125,"queigsp.120",12.65,1,NA
0,0,NA,0,-1,"Wait"
126,127,"queigacc.120",1.44725994,1,NA
128,129,"qutweacc.30",0.402534205,1,NA
130,131,"skewacc.30",3.36163669,1,NA
0,0,NA,0,-1,"Rail"
132,133,"meansp.120",10.909820605,1,NA
0,0,NA,0,-1,"Walk"
134,135,"minsp.30",0.625,1,NA
136,137,"iqrnon.120",1.0795117,1,NA
0,0,NA,0,-1,"Wait"
138,139,"queignon.120",2.1522085,1,NA
140,141,"queignon.30",0.875,1,NA
0,0,NA,0,-1,"Bus"
142,143,"meanseqsp.120",0.011554622,1,NA
144,145,"kurtacc.120",2.948724333,1,NA
