"left daughter","right daughter","split var","split point","status","prediction"
2,3,"maxsp.120",3.6569625,1,NA
4,5,"iqracc.120",0.667452665,1,NA
6,7,"maxnon.120",7.625,1,NA
8,9,"minsp.120",0.25,1,NA
10,11,"queigacc.120",2.03338816,1,NA
12,13,"meanacc.120",0.526309678,1,NA
14,15,"iqracc.120",0.1849841025,1,NA
16,17,"varseqsp.120",0.047512551,1,NA
18,19,"meannon.30",0.75,1,NA
20,21,"minsp.30",1.75,1,NA
22,23,"queignon.120",2.1736555,1,NA
24,25,"entseqacc.30",0.433990539,1,NA
26,27,"medianseqacc.120",0.085555795,1,NA
28,29,"qutweacc.120",0.0586000015,1,NA
30,31,"meansp.120",6.7385416665,1,NA
32,33,"kurtseqacc.120",10.0206802535,1,NA
34,35,"iqrseqsp.30",0.1097331,1,NA
0,0,NA,0,-1,"Rail"
36,37,"queigseqacc.30",0.922122844,1,NA
38,39,"maxacc.120",5.8734175,1,NA
0,0,NA,0,-1,"Wait"
40,41,"qutweseqacc.120",0.02676904,1,NA
42,43,"qutwenon.30",2.375,1,NA
44,45,"auto.corr.120",0.5817253685,1,NA
46,47,"medianseqacc.120",0.033582948,1,NA
0,0,NA,0,-1,"Bus"
48,49,"queigsp.120",0.375,1,NA
50,51,"minnon.30",0.125,1,NA
52,53,"mediannon.120",14.625,1,NA
54,55,"varsp.120",32.60078563,1,NA
56,57,"meanacc.120",0.2343190215,1,NA
58,59,"varacc.120",0.003401389,1,NA
60,61,"entseqacc.120",0.9443237155,1,NA
62,63,"varseqsp.120",0.0631409345,1,NA
64,65,"auto.corr.120",0.389457508,1,NA
66,67,"kurtseqacc.120",52.066829985,1,NA
68,69,"queigseqacc.120",0.244439897,1,NA
70,71,"qutweseqacc.120",0.019419932,1,NA
72,73,"meannon.120",0.5847202205,1,NA
74,75,"skewseqacc.30",4.6072150875,1,NA
76,77,"medianacc.120",0.4774801625,1,NA
78,79,"meannon.120",1.843998016,1,NA
0,0,NA,0,-1,"Walk"
80,81,"varseqacc.120",0.003860018,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Rail"
82,83,"auto.corr.120",0.479779107,1,NA
84,85,"meansp.120",0.353125,1,NA
86,87,"queigacc.120",5.83232273,1,NA
88,89,"varseqacc.120",0.009756638,1,NA
90,91,"iqrsp.30",8.5625,1,NA
92,93,"queigacc.30",0.37753057,1,NA
0,0,NA,0,-1,"Car"
94,95,"varacc.120",0.0711610205,1,NA
96,97,"minacc.120",0.0034670015,1,NA
98,99,"queigsp.120",12.65,1,NA
100,101,"queigsp.120",14.4759265,1,NA
0,0,NA,0,-1,"Wait"
102,103,"varacc.30",0.00964463,1,NA
104,105,"entseqacc.30",0.2735105855,1,NA
106,107,"queigsp.120",0.25,1,NA
108,109,"auto.corr.30",0.130907372,1,NA
110,111,"maxnon.120",2.625,1,NA
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
112,113,"minseqacc.30",0.0032944,1,NA
114,115,"iqrseqacc.120",0.3972290365,1,NA
116,117,"varacc.30",5.1881200775,1,NA
118,119,"queignon.120",0.6132901,1,NA
0,0,NA,0,-1,"Wait"
120,121,"iqrsp.30",0.8960002125,1,NA
122,123,"iqracc.120",1.2469777665,1,NA
0,0,NA,0,-1,"Bicycle"
124,125,"meanseqacc.30",2.27777776,1,NA
126,127,"queigsp.120",2.625,1,NA
128,129,"qutwesp.30",3.125,1,NA
130,131,"entacc.120",0.3603373635,1,NA
132,133,"skewseqacc.120",4.9739382125,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bicycle"
134,135,"iqrnon.120",0.1013423,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Rail"
136,137,"maxacc.120",5.6057,1,NA
138,139,"mediansp.120",0.8125,1,NA
140,141,"maxseqacc.120",1.89542218,1,NA
142,143,"entacc.120",0.2725759095,1,NA
144,145,"varsp.120",20.976704745,1,NA
146,147,"maxseqacc.120",0.650617315,1,NA
148,149,"medianacc.120",1.5781665,1,NA
150,151,"minseqacc.120",3.925e-05,1,NA
152,153,"iqracc.30",0.664392825,1,NA
154,155,"iqrsp.120",6.0625,1,NA
156,157,"twnnon.30",0.375,1,NA
158,159,"meanseqsp.120",0.2972689075,1,NA
160,161,"iqrnon.120",0.375,1,NA
162,163,"maxseqacc.30",0.231311254,1,NA
164,165,"kurtacc.30",2.567752352,1,NA
0,0,NA,0,-1,"Bus"
166,167,"kurtacc.120",12.47604653,1,NA
168,169,"queigacc.120",1.19797824,1,NA
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Rail"
170,171,"qutweseqacc.120",0.021116522,1,NA
172,173,"maxacc.120",2.3491601,1,NA
174,175,"maxseqacc.120",3.512177,1,NA
176,177,"queigacc.120",1.31373191,1,NA
0,0,NA,0,-1,"Wait"
178,179,"meanseqacc.120",0.367081011,1,NA
180,181,"auto.corr.120",0.494361418,1,NA
182,183,"medianseqacc.120",0.154765915,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Walk"
184,185,"minseqacc.30",0.000108134,1,NA
0,0,NA,0,-1,"Wait"
186,187,"entacc.30",0.363882032,1,NA
188,189,"medianseqacc.120",0.63158885,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
190,191,"varsp.120",5.626663165,1,NA
0,0,NA,0,-1,"Car"
