"left daughter","right daughter","split var","split point","status","prediction"
2,3,"varseqacc.120",0.7131712715,1,NA
4,5,"meanseqsp.120",0.137594189,1,NA
6,7,"maxsp.120",3.7582952,1,NA
8,9,"meanacc.120",0.6408693745,1,NA
10,11,"maxsp.120",15.0041655,1,NA
12,13,"medianseqacc.120",0.1389733875,1,NA
14,15,"varsp.120",6.319211747,1,NA
16,17,"queignon.120",2.025,1,NA
18,19,"iqrsp.120",0.125,1,NA
20,21,"queigacc.120",0.272970531,1,NA
22,23,"meanseqacc.30",0.12979096,1,NA
24,25,"kurtseqacc.120",18.600303975,1,NA
26,27,"twnnon.30",2.04541435,1,NA
0,0,NA,0,-1,"Bicycle"
28,29,"maxacc.30",3.66388295,1,NA
30,31,"iqrseqacc.120",0.040103677,1,NA
32,33,"queignon.30",7.425,1,NA
34,35,"minnon.30",2.125,1,NA
36,37,"maxnon.120",3.625,1,NA
38,39,"varseqacc.120",0.0104243375,1,NA
40,41,"maxsp.120",7.625,1,NA
42,43,"maxacc.120",2.4074118,1,NA
44,45,"qutwesp.120",4.725,1,NA
46,47,"qutweseqacc.120",0.0146159565,1,NA
48,49,"skewacc.30",4.183342263,1,NA
50,51,"meanacc.120",1.3505496155,1,NA
52,53,"meanacc.120",2.071881833,1,NA
54,55,"queigseqacc.120",0.297988793,1,NA
56,57,"queigsp.120",14.6009265,1,NA
58,59,"medianseqacc.30",0.0198939525,1,NA
60,61,"kurtseqacc.30",9.768734925,1,NA
62,63,"qutwesp.30",2.525,1,NA
64,65,"mediannon.120",7.125,1,NA
66,67,"skewseqacc.30",4.245228678,1,NA
0,0,NA,0,-1,"Bicycle"
68,69,"maxseqacc.120",3.10257357,1,NA
70,71,"qutwenon.30",7.1385107,1,NA
72,73,"maxnon.120",4.625,1,NA
74,75,"mediannon.30",1.875,1,NA
76,77,"qutweseqacc.30",0.070202139,1,NA
78,79,"iqracc.30",0.3834871175,1,NA
80,81,"maxnon.120",25.375,1,NA
82,83,"skewacc.120",10.549027405,1,NA
84,85,"meanacc.120",1.037056993,1,NA
86,87,"varseqacc.30",0.0107836175,1,NA
0,0,NA,0,-1,"Rail"
88,89,"queignon.120",1.75,1,NA
90,91,"iqrseqacc.120",0.695969758,1,NA
0,0,NA,0,-1,"Rail"
92,93,"varacc.30",5.214177762,1,NA
94,95,"varsp.120",0.6135285365,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
96,97,"maxseqsp.120",2.7108947,1,NA
0,0,NA,0,-1,"Car"
98,99,"varsp.120",0.12275035,1,NA
100,101,"minnon.30",0.375,1,NA
102,103,"skewseqacc.30",0.7879108375,1,NA
104,105,"maxacc.120",2.06748365,1,NA
106,107,"kurtacc.120",14.611504515,1,NA
108,109,"meannon.120",4.321969697,1,NA
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
110,111,"kurtacc.120",27.268201465,1,NA
0,0,NA,0,-1,"Wait"
112,113,"qutweseqacc.120",0.020149046,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Car"
114,115,"varacc.120",0.042357311,1,NA
116,117,"minacc.120",0.001613294,1,NA
118,119,"meanacc.30",0.275477457,1,NA
120,121,"qutwenon.120",4.4686806,1,NA
0,0,NA,0,-1,"Bicycle"
122,123,"varseqacc.120",0.0079558665,1,NA
124,125,"kurtacc.120",12.985818165,1,NA
126,127,"queigacc.120",0.47315186,1,NA
0,0,NA,0,-1,"Car"
128,129,"varseqsp.120",0.9054132245,1,NA
0,0,NA,0,-1,"Rail"
130,131,"iqracc.120",0.2387022905,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
132,133,"medianacc.120",0.91991837,1,NA
134,135,"qutweseqacc.120",0.0303983805,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
136,137,"auto.corr.120",0.617336575,1,NA
0,0,NA,0,-1,"Wait"
138,139,"meanseqacc.120",0.9984254515,1,NA
140,141,"meanacc.120",1.8767356035,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
142,143,"auto.corr.30",0.337698494,1,NA
0,0,NA,0,-1,"Rail"
144,145,"iqrseqacc.30",0.0285641315,1,NA
0,0,NA,0,-1,"Car"
146,147,"medianacc.30",0.216482305,1,NA
148,149,"iqracc.120",0.2233068575,1,NA
150,151,"queigacc.120",0.3106751,1,NA
152,153,"qutweseqacc.120",0.041854961,1,NA
154,155,"kurtacc.30",3.8584939235,1,NA
156,157,"entacc.120",0.8565139405,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bus"
158,159,"entseqacc.30",0.6585758315,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
160,161,"queignon.30",0.375,1,NA
162,163,"queigsp.120",9.15,1,NA
164,165,"iqrnon.30",8.125,1,NA
166,167,"mediansp.30",10.875,1,NA
168,169,"entseqacc.30",0.6581296765,1,NA
0,0,NA,0,-1,"Bicycle"
170,171,"varseqsp.120",0.1411435335,1,NA
172,173,"queignon.120",10.875,1,NA
174,175,"minacc.120",0.005409904,1,NA
176,177,"qutweseqacc.120",0.071893787,1,NA
178,179,"varsp.30",0.1652658045,1,NA
180,181,"skewacc.30",3.4440199875,1,NA
182,183,"mediansp.120",4.375,1,NA
184,185,"auto.corr.30",0.1467283515,1,NA
186,187,"mediansp.120",2.85148895,1,NA
188,189,"iqrnon.120",10.40625,1,NA
190,191,"varseqsp.30",0.006465517,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
192,193,"minnon.30",0.625,1,NA
194,195,"varseqacc.30",0.0931740725,1,NA
196,197,"skewacc.120",3.348919361,1,NA
0,0,NA,0,-1,"Walk"
198,199,"varacc.30",0.572502366,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
