"left daughter","right daughter","split var","split point","status","prediction"
2,3,"meanacc.120",1.3537301885,1,NA
4,5,"maxnon.30",13.064359105,1,NA
6,7,"meanseqacc.120",0.9270584565,1,NA
8,9,"varsp.120",0.959379377,1,NA
10,11,"maxnon.120",23.25,1,NA
12,13,"maxsp.120",3.3871732,1,NA
14,15,"queignon.30",2.8620729,1,NA
16,17,"qutweseqacc.120",0.0926419825,1,NA
18,19,"iqracc.120",0.222541137,1,NA
20,21,"meanacc.120",0.231289045,1,NA
22,23,"meanacc.30",0.136960993,1,NA
24,25,"meanseqsp.120",0.005252101,1,NA
26,27,"queigsp.120",5.65,1,NA
28,29,"maxsp.120",3.82319535,1,NA
30,31,"maxnon.120",14.308202,1,NA
32,33,"meanseqacc.120",0.378601737,1,NA
34,35,"mediannon.30",1.125,1,NA
36,37,"queigacc.120",0.2772224,1,NA
38,39,"meannon.120",9.777284946,1,NA
40,41,"maxseqacc.120",2.008704815,1,NA
42,43,"qutwenon.120",4.125,1,NA
0,0,NA,0,-1,"Rail"
44,45,"qutweacc.120",0.0467655505,1,NA
46,47,"meansp.120",0.0010416665,1,NA
48,49,"entacc.120",0.9011921615,1,NA
50,51,"skewacc.120",1.57274086,1,NA
52,53,"qutweacc.30",0.345282899,1,NA
54,55,"queigsp.120",2.13103065,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bus"
56,57,"qutwesp.30",0.25,1,NA
58,59,"meannon.30",2,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
60,61,"meanseqacc.120",0.0910649205,1,NA
62,63,"mediannon.120",9.101604,1,NA
64,65,"maxsp.120",7.5,1,NA
66,67,"minsp.30",8.1049015,1,NA
68,69,"auto.corr.120",0.1181488765,1,NA
70,71,"auto.corr.120",0.111594503,1,NA
72,73,"medianseqacc.120",0.18790572,1,NA
74,75,"meanseqsp.120",0.3592436975,1,NA
0,0,NA,0,-1,"Rail"
76,77,"medianacc.120",0.164992565,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
78,79,"auto.corr.120",0.3030871865,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
80,81,"medianseqacc.120",0.612124025,1,NA
82,83,"queigsp.120",2.375,1,NA
84,85,"varacc.120",0.171469038,1,NA
86,87,"iqracc.120",0.332726888,1,NA
88,89,"entacc.120",1.0499239855,1,NA
0,0,NA,0,-1,"Wait"
90,91,"varseqsp.120",0.091640258,1,NA
92,93,"queigsp.120",5.675,1,NA
94,95,"varseqsp.30",0.742841749,1,NA
96,97,"varacc.30",0.048249114,1,NA
98,99,"queigacc.30",0.797587093,1,NA
100,101,"meansp.120",5.7958333335,1,NA
102,103,"varseqsp.120",0.730807577,1,NA
104,105,"queigsp.30",12.125,1,NA
0,0,NA,0,-1,"Car"
106,107,"qutweacc.120",0.0924301965,1,NA
0,0,NA,0,-1,"Rail"
108,109,"queigsp.30",13.075,1,NA
110,111,"queigseqacc.120",0.3084381715,1,NA
0,0,NA,0,-1,"Bus"
112,113,"entacc.120",0.286867872,1,NA
114,115,"meansp.120",7.0506307825,1,NA
116,117,"meanseqsp.30",0.7068965515,1,NA
0,0,NA,0,-1,"Car"
118,119,"varsp.120",0.507928484,1,NA
0,0,NA,0,-1,"Walk"
120,121,"auto.corr.120",0.288079211,1,NA
0,0,NA,0,-1,"Walk"
122,123,"qutwenon.120",1.575,1,NA
0,0,NA,0,-1,"Walk"
124,125,"meanseqacc.120",0.1237014015,1,NA
126,127,"qutwenon.120",0.775,1,NA
128,129,"meanseqsp.120",0.025210084,1,NA
130,131,"mediannon.120",3.125,1,NA
132,133,"medianseqacc.30",0.050624307,1,NA
0,0,NA,0,-1,"Wait"
134,135,"iqrseqacc.120",0.081278392,1,NA
136,137,"meannon.30",1.2319444445,1,NA
138,139,"meansp.30",4.9708333335,1,NA
140,141,"iqracc.30",0.1597190335,1,NA
142,143,"skewseqacc.120",3.2384311,1,NA
144,145,"auto.corr.30",0.363467264,1,NA
146,147,"varseqsp.120",0.3642331935,1,NA
148,149,"iqrseqsp.120",0.125,1,NA
150,151,"maxsp.30",2.625,1,NA
152,153,"meansp.30",0.1291666665,1,NA
154,155,"queigacc.30",0.61852343,1,NA
156,157,"varacc.30",0.3357055275,1,NA
158,159,"minseqacc.120",0.00161823,1,NA
160,161,"queigseqacc.120",0.244442227,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
162,163,"skewacc.30",4.963623181,1,NA
0,0,NA,0,-1,"Car"
164,165,"qutweseqacc.120",0.008312487,1,NA
166,167,"kurtacc.120",23.65688018,1,NA
168,169,"skewseqacc.30",1.3495931735,1,NA
170,171,"minsp.30",0.125,1,NA
172,173,"maxseqacc.120",1.160876455,1,NA
174,175,"varacc.30",0.205396918,1,NA
176,177,"queignon.30",13.975,1,NA
178,179,"meanacc.120",1.251804988,1,NA
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bicycle"
180,181,"kurtacc.30",3.955953048,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Wait"
182,183,"skewacc.120",2.6805673955,1,NA
184,185,"entacc.30",0.2397727265,1,NA
186,187,"iqrseqacc.120",0.320963119,1,NA
188,189,"entacc.30",0.1292626225,1,NA
190,191,"maxseqacc.120",6.0524447,1,NA
