"left daughter","right daughter","split var","split point","status","prediction"
2,3,"iqrseqacc.120",0.7631548665,1,NA
4,5,"queignon.120",12.852589,1,NA
6,7,"maxnon.120",3.73015785,1,NA
8,9,"varsp.120",1.132545518,1,NA
10,11,"medianacc.120",0.166548385,1,NA
12,13,"iqrsp.120",1.7625783625,1,NA
14,15,"mediansp.120",6.75,1,NA
16,17,"meannon.120",3.01875,1,NA
18,19,"varseqsp.120",0.0962158165,1,NA
20,21,"auto.corr.120",0.237325715,1,NA
22,23,"medianseqsp.120",0.008812,1,NA
24,25,"queigsp.120",2.09702493,1,NA
26,27,"queignon.30",0.75,1,NA
0,0,NA,0,-1,"Bicycle"
28,29,"entacc.120",0.4878221855,1,NA
30,31,"varseqacc.30",0.0619976205,1,NA
32,33,"medianacc.30",0.33332736,1,NA
34,35,"meanseqacc.120",0.1700365205,1,NA
36,37,"varseqacc.120",0.0155877775,1,NA
38,39,"varacc.120",0.037315518,1,NA
40,41,"meanseqacc.120",0.129089731,1,NA
42,43,"medianacc.120",0.3803972825,1,NA
44,45,"queignon.120",14.025,1,NA
46,47,"meanseqacc.120",0.86351896,1,NA
48,49,"minsp.30",2.375,1,NA
50,51,"maxsp.120",2.125,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Wait"
52,53,"iqracc.120",0.135818069,1,NA
54,55,"maxseqacc.120",3.65000372,1,NA
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bicycle"
56,57,"auto.corr.30",0.2769861245,1,NA
58,59,"kurtacc.120",34.96784455,1,NA
60,61,"queigsp.120",2.15,1,NA
62,63,"meansp.120",5.7958333335,1,NA
64,65,"minnon.120",9.375,1,NA
66,67,"queignon.120",15.425,1,NA
68,69,"mediansp.120",17.9375,1,NA
70,71,"entseqacc.120",0.944398525,1,NA
72,73,"qutweacc.120",0.28885756,1,NA
74,75,"iqrnon.30",7.59375,1,NA
76,77,"iqracc.120",0.269002205,1,NA
78,79,"varacc.120",1.142221868,1,NA
80,81,"varacc.30",5.2943093955,1,NA
82,83,"meanacc.120",1.825182545,1,NA
84,85,"qutweacc.30",0.26175072,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
86,87,"varsp.120",0.0785106415,1,NA
88,89,"maxacc.120",2.08498895,1,NA
90,91,"meansp.120",0.3822916665,1,NA
92,93,"kurtseqacc.120",28.065665535,1,NA
94,95,"queignon.120",2.625,1,NA
0,0,NA,0,-1,"Car"
96,97,"iqrsp.120",5.875,1,NA
98,99,"meansp.30",5.95,1,NA
100,101,"entseqacc.120",0.5479753235,1,NA
102,103,"meanacc.30",0.272992848,1,NA
104,105,"iqrseqacc.120",0.5722039085,1,NA
106,107,"queigacc.30",0.626957488,1,NA
108,109,"meannon.120",11.817263575,1,NA
0,0,NA,0,-1,"Car"
110,111,"maxseqacc.120",4.05319745,1,NA
0,0,NA,0,-1,"Car"
112,113,"varseqacc.30",0.0849509805,1,NA
114,115,"skewseqacc.120",3.672657764,1,NA
116,117,"entacc.120",0.527428767,1,NA
118,119,"qutwesp.120",0.25,1,NA
120,121,"meanacc.30",0.3961243495,1,NA
122,123,"maxseqacc.30",1.435845235,1,NA
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
124,125,"maxseqsp.120",2.125,1,NA
126,127,"queigsp.120",12.275,1,NA
128,129,"medianacc.30",0.0611085035,1,NA
130,131,"medianacc.120",0.67208294,1,NA
132,133,"maxacc.120",17.590935,1,NA
134,135,"auto.corr.30",0.3865629875,1,NA
136,137,"iqracc.120",1.281550754,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Wait"
138,139,"maxseqacc.120",1.2003192075,1,NA
140,141,"maxacc.120",3.1548933,1,NA
142,143,"auto.corr.120",0.3012488405,1,NA
144,145,"meansp.120",0.3791666665,1,NA
