"left daughter","right daughter","split var","split point","status","prediction"
2,3,"maxnon.120",3.63336635,1,NA
4,5,"medianacc.120",0.3988709775,1,NA
6,7,"medianseqacc.30",0.3776037475,1,NA
8,9,"meansp.30",0.4041666665,1,NA
10,11,"iqrseqacc.120",0.8098957925,1,NA
12,13,"qutwenon.120",4.825,1,NA
14,15,"queignon.30",7.8,1,NA
16,17,"queigseqacc.120",0.559533422,1,NA
18,19,"varseqacc.120",0.3522299805,1,NA
20,21,"entseqacc.120",0.8966599755,1,NA
22,23,"meannon.30",2.0666666665,1,NA
24,25,"maxseqacc.120",1.271238765,1,NA
26,27,"meanacc.120",0.237534053,1,NA
28,29,"entacc.120",0.663118075,1,NA
30,31,"maxsp.120",19.125,1,NA
32,33,"entseqacc.120",0.733698848,1,NA
34,35,"skewseqacc.120",2.2372621615,1,NA
36,37,"entseqacc.30",0.427494601,1,NA
38,39,"qutwenon.30",0.311392627,1,NA
40,41,"maxnon.30",2.375,1,NA
42,43,"iqrseqacc.120",0.6072015415,1,NA
44,45,"queignon.30",2.225,1,NA
46,47,"qutwenon.120",2.375,1,NA
48,49,"varseqacc.120",0.0120282355,1,NA
50,51,"varseqsp.120",0.0933583175,1,NA
52,53,"maxacc.120",2.5211414,1,NA
54,55,"meansp.120",10.36979167,1,NA
56,57,"minacc.30",1.34405012,1,NA
58,59,"meanseqsp.30",0.056034483,1,NA
60,61,"qutweacc.30",0.475858928,1,NA
0,0,NA,0,-1,"Car"
62,63,"meanacc.120",0.292408768,1,NA
64,65,"kurtacc.30",3.855750704,1,NA
66,67,"queigacc.120",1.069007604,1,NA
68,69,"maxsp.120",1.28440715,1,NA
70,71,"varseqacc.30",0.0008223605,1,NA
72,73,"iqrseqsp.30",0.125,1,NA
74,75,"queigsp.120",0.5142167,1,NA
76,77,"medianacc.120",0.067297107,1,NA
78,79,"medianacc.120",0.4497318,1,NA
0,0,NA,0,-1,"Car"
80,81,"meanseqsp.120",0.089356153,1,NA
82,83,"iqrseqacc.120",0.7375970275,1,NA
84,85,"kurtacc.120",17.657910835,1,NA
86,87,"varsp.120",0.9971514835,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
88,89,"iqrseqsp.120",0.1875,1,NA
90,91,"skewacc.120",1.34490122,1,NA
92,93,"kurtacc.120",31.55201886,1,NA
94,95,"mediansp.30",12.02955375,1,NA
96,97,"queignon.120",21.425,1,NA
98,99,"varseqacc.120",0.0876165705,1,NA
100,101,"queigseqacc.120",0.240513415,1,NA
102,103,"queigsp.120",12.875,1,NA
104,105,"maxnon.120",3.7582952,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
106,107,"meansp.30",12.2875,1,NA
108,109,"medianacc.120",0.616325685,1,NA
110,111,"maxnon.120",1.206534,1,NA
112,113,"meannon.120",0.0875,1,NA
114,115,"maxseqacc.30",0.0266830625,1,NA
116,117,"maxsp.120",2.75,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
118,119,"kurtseqacc.30",25.893593995,1,NA
120,121,"meanseqsp.120",0.0445660335,1,NA
0,0,NA,0,-1,"Bus"
122,123,"medianacc.120",0.10335892,1,NA
124,125,"iqrsp.30",0.46875,1,NA
126,127,"skewseqacc.120",5.7285428035,1,NA
0,0,NA,0,-1,"Rail"
128,129,"maxsp.120",1.2698445,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Walk"
130,131,"mediannon.120",1.0625,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
132,133,"iqrseqacc.30",1.063928745,1,NA
0,0,NA,0,-1,"Wait"
134,135,"meannon.120",1.716626742,1,NA
136,137,"iqrnon.120",0.875,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
138,139,"entseqacc.120",0.3558824185,1,NA
140,141,"entacc.30",0.0524174725,1,NA
142,143,"maxnon.120",13.875,1,NA
144,145,"iqrnon.120",10.2068052,1,NA
146,147,"entacc.30",0.75101047,1,NA
148,149,"auto.corr.30",0.221607842,1,NA
150,151,"maxsp.120",14.875,1,NA
152,153,"varseqacc.30",0.0211933465,1,NA
154,155,"minacc.120",0.0008800855,1,NA
156,157,"qutweseqacc.120",0.033549708,1,NA
158,159,"queignon.120",11.375,1,NA
160,161,"iqrsp.120",11.15625,1,NA
162,163,"varsp.120",15.39284224,1,NA
164,165,"meanacc.120",0.9082429365,1,NA
166,167,"maxsp.120",14.375,1,NA
168,169,"qutweacc.120",0.0579336385,1,NA
170,171,"meanacc.30",3.033325614,1,NA
0,0,NA,0,-1,"Bicycle"
172,173,"meanseqsp.120",0.330882353,1,NA
174,175,"skewacc.120",3.210830265,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
176,177,"varseqacc.120",0.001916714,1,NA
0,0,NA,0,-1,"Bus"
178,179,"entacc.120",0.042608473,1,NA
180,181,"varacc.120",0.052616906,1,NA
0,0,NA,0,-1,"Wait"
182,183,"qutweseqacc.30",0.0101181505,1,NA
184,185,"minseqacc.30",0.00150022,1,NA
186,187,"queigacc.30",0.216758414,1,NA
188,189,"minseqacc.120",0.000307289,1,NA
190,191,"queigacc.120",1.26096741,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
192,193,"meannon.120",1.5267085625,1,NA
194,195,"qutweacc.30",0.0782376275,1,NA
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
196,197,"kurtacc.30",3.7770018085,1,NA
198,199,"iqracc.120",1.0225034575,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Wait"
