"left daughter","right daughter","split var","split point","status","prediction"
2,3,"queigacc.120",2.0813114,1,NA
4,5,"medianseqsp.120",0.19038205,1,NA
6,7,"meansp.120",2.64375,1,NA
8,9,"maxsp.120",2.5264475,1,NA
10,11,"meannon.120",9.637895257,1,NA
12,13,"skewseqacc.120",5.2982836085,1,NA
14,15,"kurtseqacc.30",16.811763445,1,NA
16,17,"queigseqacc.120",0.439644141,1,NA
18,19,"meanseqacc.30",0.3038245825,1,NA
20,21,"meanacc.120",0.233438324,1,NA
22,23,"medianacc.120",0.17597309,1,NA
24,25,"varsp.120",0.8907326965,1,NA
0,0,NA,0,-1,"Wait"
26,27,"twnnon.30",8.0233795,1,NA
28,29,"qutweacc.120",0.604947836,1,NA
30,31,"minsp.30",0.25,1,NA
32,33,"meanacc.120",1.1113581775,1,NA
34,35,"meannon.30",9.4848958335,1,NA
36,37,"meansp.30",5.554166667,1,NA
38,39,"maxacc.120",2.23200955,1,NA
40,41,"maxsp.120",7.625,1,NA
42,43,"maxseqacc.120",2.012591315,1,NA
44,45,"iqracc.120",1.01432753,1,NA
46,47,"meannon.120",1.8279891305,1,NA
48,49,"varseqacc.120",2.4244392785,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Bicycle"
50,51,"kurtacc.120",7.8149199365,1,NA
52,53,"iqracc.30",0.3961788275,1,NA
54,55,"minacc.30",0.002279741,1,NA
56,57,"minseqacc.30",0.0017908285,1,NA
58,59,"maxsp.120",13.754544,1,NA
60,61,"qutweacc.120",0.109283506,1,NA
62,63,"queigsp.120",6.125,1,NA
64,65,"meannon.30",11.2125,1,NA
66,67,"qutweseqacc.120",0.0222931995,1,NA
68,69,"queigseqacc.120",0.184613648,1,NA
70,71,"medianseqacc.120",0.2005988275,1,NA
72,73,"qutwesp.30",3.50364324,1,NA
74,75,"minnon.120",10.75,1,NA
76,77,"queignon.120",15.425,1,NA
78,79,"meanseqsp.120",0.379201681,1,NA
80,81,"qutwenon.120",8.7287696,1,NA
82,83,"medianseqacc.30",0.64957618,1,NA
84,85,"queignon.30",2.375,1,NA
0,0,NA,0,-1,"Bicycle"
86,87,"queigseqacc.30",2.2175644895,1,NA
88,89,"iqrseqacc.120",0.059946402,1,NA
90,91,"iqrnon.120",0.4910014125,1,NA
92,93,"iqrseqacc.120",0.041137195,1,NA
94,95,"minseqacc.30",0.001254715,1,NA
0,0,NA,0,-1,"Wait"
96,97,"kurtacc.30",24.51469977,1,NA
98,99,"maxseqacc.120",13.8414856,1,NA
100,101,"meanacc.30",1.346927757,1,NA
102,103,"maxseqacc.120",1.15991973,1,NA
104,105,"minsp.120",0.125,1,NA
106,107,"iqracc.120",0.291775639,1,NA
108,109,"entacc.30",0.131291736,1,NA
110,111,"maxsp.120",7.625,1,NA
112,113,"kurtseqacc.120",41.14787209,1,NA
114,115,"varseqsp.120",0.1880047235,1,NA
116,117,"queignon.30",13.054591,1,NA
118,119,"minnon.120",2.5,1,NA
120,121,"iqrseqacc.120",0.118015384,1,NA
122,123,"iqrnon.30",4.28125,1,NA
124,125,"varseqsp.120",0.4441585955,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Bicycle"
126,127,"queignon.30",14.15,1,NA
128,129,"iqracc.30",0.453278199,1,NA
130,131,"minseqacc.120",0.000729206,1,NA
0,0,NA,0,-1,"Car"
132,133,"iqrnon.120",3.625,1,NA
0,0,NA,0,-1,"Car"
134,135,"qutwenon.30",12.075,1,NA
136,137,"varacc.120",0.035430761,1,NA
138,139,"meannon.120",11.67390236,1,NA
0,0,NA,0,-1,"Bus"
140,141,"maxseqsp.30",0.94634285,1,NA
142,143,"iqrnon.30",0.741643695,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
144,145,"skewseqacc.120",1.814692859,1,NA
146,147,"skewacc.30",0.428231173,1,NA
148,149,"kurtacc.30",2.4933256315,1,NA
150,151,"maxacc.120",1.05959862,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Car"
152,153,"maxacc.120",10.87780925,1,NA
