"left daughter","right daughter","split var","split point","status","prediction"
2,3,"queigseqacc.120",1.14302468,1,NA
4,5,"varsp.120",0.6604297965,1,NA
6,7,"queignon.30",2.525,1,NA
8,9,"mediannon.30",2.625,1,NA
10,11,"varacc.120",0.044790372,1,NA
12,13,"meansp.120",1.7044094195,1,NA
14,15,"mediansp.30",8,1,NA
16,17,"queigseqacc.120",0.559533422,1,NA
18,19,"queigacc.120",0.832085294,1,NA
20,21,"minnon.120",10.25,1,NA
22,23,"mediannon.30",12.8125,1,NA
24,25,"maxnon.30",2.4937072,1,NA
26,27,"minacc.30",0.2420612,1,NA
0,0,NA,0,-1,"Bicycle"
28,29,"minacc.120",0.035041917,1,NA
30,31,"queigsp.120",0.399498924,1,NA
32,33,"maxseqacc.120",3.13566584,1,NA
34,35,"qutweseqacc.120",0.0356076775,1,NA
36,37,"qutweseqacc.30",0.05313341,1,NA
38,39,"queigsp.120",9.15,1,NA
0,0,NA,0,-1,"Car"
40,41,"varseqsp.120",0.124795257,1,NA
42,43,"maxnon.120",23.125,1,NA
44,45,"queignon.120",2.125,1,NA
46,47,"minseqacc.30",0.00076207,1,NA
48,49,"queigseqsp.30",0.04412344,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
50,51,"iqracc.120",0.161680965,1,NA
52,53,"medianacc.120",0.100195795,1,NA
54,55,"maxacc.120",3.7545428,1,NA
56,57,"minacc.30",0.002279741,1,NA
0,0,NA,0,-1,"Rail"
58,59,"minacc.120",0.019665478,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bicycle"
60,61,"meanacc.120",0.130233047,1,NA
62,63,"auto.corr.120",0.1636998565,1,NA
64,65,"queigsp.120",6.3,1,NA
66,67,"iqrsp.120",12.268283125,1,NA
68,69,"qutweseqacc.120",0.0300640545,1,NA
0,0,NA,0,-1,"Car"
70,71,"medianacc.120",0.975918825,1,NA
72,73,"medianseqacc.120",0.423703375,1,NA
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bicycle"
74,75,"maxseqacc.120",1.15098316,1,NA
76,77,"entacc.30",0.197856616,1,NA
78,79,"maxseqacc.120",6.0524447,1,NA
80,81,"varsp.120",0.261736257,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Wait"
82,83,"meanacc.120",1.634623662,1,NA
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
84,85,"queigsp.120",3.275,1,NA
86,87,"qutweacc.30",0.334129998,1,NA
88,89,"varseqacc.120",0.0202379465,1,NA
90,91,"iqracc.30",0.25732183,1,NA
92,93,"queigacc.120",0.719716538,1,NA
94,95,"meanseqsp.120",0.1659663865,1,NA
96,97,"medianseqacc.120",0.35331915,1,NA
98,99,"maxseqacc.120",4.33260655,1,NA
100,101,"qutwesp.30",16.60923214,1,NA
102,103,"meanacc.120",1.251804988,1,NA
104,105,"iqrseqacc.120",0.812388154,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bicycle"
106,107,"meanseqsp.120",0.0021008405,1,NA
108,109,"meannon.30",0.5741469765,1,NA
110,111,"queigseqacc.30",0.165924471,1,NA
112,113,"kurtacc.30",3.974516964,1,NA
114,115,"varsp.120",0.24722514,1,NA
0,0,NA,0,-1,"Wait"
116,117,"skewseqacc.120",5.62803521,1,NA
118,119,"varacc.30",0.257117686,1,NA
120,121,"skewacc.120",2.4903441085,1,NA
0,0,NA,0,-1,"Wait"
122,123,"meannon.30",1.861111111,1,NA
0,0,NA,0,-1,"Rail"
124,125,"maxnon.120",8.375,1,NA
126,127,"minacc.120",0.10753487,1,NA
128,129,"meanacc.120",0.188683751,1,NA
130,131,"medianacc.120",0.123880108,1,NA
132,133,"queigacc.120",0.47315186,1,NA
134,135,"meannon.120",9.506352087,1,NA
136,137,"mediannon.120",3.125,1,NA
138,139,"qutwenon.120",0.775,1,NA
0,0,NA,0,-1,"Wait"
140,141,"iqrnon.30",1.1875,1,NA
142,143,"meansp.30",5.4458333335,1,NA
144,145,"mediansp.30",5.202954675,1,NA
146,147,"maxsp.120",16.875,1,NA
148,149,"mediansp.30",0.125,1,NA
150,151,"varacc.120",0.1060227355,1,NA
152,153,"entseqacc.30",0.4551181185,1,NA
154,155,"maxsp.120",22.75,1,NA
0,0,NA,0,-1,"Bus"
156,157,"queigacc.30",3.4204691,1,NA
158,159,"maxsp.30",1.9432653,1,NA
160,161,"kurtacc.120",2.901481452,1,NA
162,163,"minnon.120",0.375,1,NA
164,165,"meanseqacc.30",0.1174075065,1,NA
166,167,"medianacc.120",0.0787421645,1,NA
168,169,"skewacc.120",2.242057107,1,NA
170,171,"meanseqacc.120",0.237926138,1,NA
172,173,"qutweseqacc.30",0.027733791,1,NA
