"left daughter","right daughter","split var","split point","status","prediction"
2,3,"iqracc.120",1.116553005,1,NA
4,5,"meansp.30",10.145833335,1,NA
6,7,"meannon.120",2.6398809525,1,NA
8,9,"maxseqsp.120",1.6839307,1,NA
10,11,"iqracc.120",0.197989825,1,NA
12,13,"queignon.120",2.18496454,1,NA
14,15,"queignon.120",6.625,1,NA
16,17,"queignon.120",3,1,NA
18,19,"queignon.120",12.9676537,1,NA
20,21,"mediansp.120",14.5625,1,NA
22,23,"meanacc.120",0.256687005,1,NA
24,25,"medianacc.120",0.975918825,1,NA
26,27,"minnon.30",2.375,1,NA
0,0,NA,0,-1,"Bicycle"
28,29,"queigseqsp.120",0.375,1,NA
30,31,"iqracc.120",0.506068315,1,NA
32,33,"meanseqacc.120",0.2850861295,1,NA
34,35,"meanseqacc.120",0.0843493855,1,NA
36,37,"varseqacc.120",0.022578531,1,NA
38,39,"maxacc.120",2.5763604,1,NA
40,41,"skewacc.120",1.525456648,1,NA
42,43,"kurtseqacc.120",27.50800059,1,NA
44,45,"maxnon.120",23.125,1,NA
46,47,"queigseqacc.120",0.949492485,1,NA
48,49,"iqrsp.120",1.7313283625,1,NA
50,51,"queignon.120",2.2895831,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
52,53,"skewacc.120",2.787811042,1,NA
54,55,"varseqacc.30",0.061587122,1,NA
56,57,"qutwesp.120",1.875,1,NA
58,59,"qutweseqsp.30",0.11481379,1,NA
60,61,"qutwesp.120",0.125,1,NA
62,63,"varseqsp.120",0.0962158165,1,NA
64,65,"qutweacc.30",0.099647205,1,NA
66,67,"mediannon.120",11.3125,1,NA
68,69,"medianacc.120",0.357435295,1,NA
70,71,"kurtacc.30",8.35710945,1,NA
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
72,73,"skewacc.120",3.443710754,1,NA
74,75,"twnnon.30",20.075,1,NA
0,0,NA,0,-1,"Car"
76,77,"maxseqsp.120",0.125,1,NA
78,79,"skewacc.30",3.689416622,1,NA
80,81,"skewseqacc.120",5.429314356,1,NA
82,83,"maxnon.120",3,1,NA
0,0,NA,0,-1,"Wait"
84,85,"kurtacc.30",3.5387578145,1,NA
86,87,"entseqacc.120",0.479012893,1,NA
88,89,"meansp.120",0.0716720885,1,NA
90,91,"varseqacc.30",0.0385785465,1,NA
92,93,"entacc.120",1.1161643345,1,NA
94,95,"qutweacc.120",0.101823904,1,NA
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bicycle"
96,97,"mediansp.30",9.6442505,1,NA
98,99,"varseqsp.120",0.3190473225,1,NA
100,101,"meanseqsp.120",0.5409663865,1,NA
102,103,"qutwenon.120",1.525,1,NA
104,105,"meanacc.120",1.199603336,1,NA
106,107,"qutweacc.120",0.0761362205,1,NA
108,109,"kurtacc.120",11.129395395,1,NA
110,111,"maxnon.120",17.875,1,NA
112,113,"entacc.120",0.856481666,1,NA
114,115,"maxnon.30",13,1,NA
116,117,"meanseqacc.30",0.2528567725,1,NA
118,119,"minsp.30",8.125,1,NA
0,0,NA,0,-1,"Car"
120,121,"varsp.120",38.352617295,1,NA
0,0,NA,0,-1,"Car"
122,123,"qutweacc.30",0.572133433,1,NA
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Walk"
124,125,"maxnon.120",0.625,1,NA
126,127,"minacc.30",0.0758612175,1,NA
128,129,"kurtseqacc.120",18.289532925,1,NA
130,131,"queigacc.120",2.7441471,1,NA
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Walk"
132,133,"minseqacc.30",0.000514815,1,NA
134,135,"qutweseqacc.120",0.009920215,1,NA
136,137,"varacc.120",0.092408967,1,NA
138,139,"minacc.30",0.000235874,1,NA
140,141,"varacc.120",0.6636577485,1,NA
142,143,"maxseqacc.30",0.339687057,1,NA
144,145,"mediansp.30",0.125,1,NA
146,147,"queigseqacc.30",2.144492059,1,NA
0,0,NA,0,-1,"Wait"
148,149,"qutwenon.120",4.325,1,NA
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
150,151,"minacc.120",0.08259929,1,NA
152,153,"meanacc.120",0.3774911975,1,NA
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
154,155,"iqrsp.120",0.03125,1,NA
156,157,"maxnon.30",8.125,1,NA
158,159,"iqrseqacc.120",0.1962020265,1,NA
160,161,"varsp.120",12.70231021,1,NA
162,163,"skewacc.120",1.360884029,1,NA
0,0,NA,0,-1,"Car"
164,165,"minacc.120",0.08569387,1,NA
0,0,NA,0,-1,"Rail"
166,167,"meanseqacc.120",0.224064371,1,NA
168,169,"maxseqacc.120",4.21756745,1,NA
170,171,"maxseqacc.120",1.307381914,1,NA
172,173,"kurtseqacc.120",57.161494365,1,NA
174,175,"minacc.30",0.0023612855,1,NA
0,0,NA,0,-1,"Rail"
176,177,"queignon.30",18.5705883,1,NA
0,0,NA,0,-1,"Bus"
178,179,"iqrseqacc.30",0.155317751,1,NA
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
180,181,"qutweseqacc.120",0.0317699445,1,NA
182,183,"varacc.120",0.1509187645,1,NA
0,0,NA,0,-1,"Wait"
184,185,"kurtseqacc.30",7.088886873,1,NA
0,0,NA,0,-1,"Walk"
186,187,"qutweseqacc.30",0.87857171,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
188,189,"iqrseqsp.30",0.125,1,NA
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Wait"
190,191,"minacc.120",0.0048714485,1,NA
192,193,"minacc.120",0.001007781,1,NA
194,195,"varacc.120",0.4415559255,1,NA
196,197,"iqracc.120",0.281825,1,NA
198,199,"meanseqacc.30",0.6659658905,1,NA
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bus"
0,0,NA,0,-1,"Car"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Rail"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
0,0,NA,0,-1,"Bicycle"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Wait"
0,0,NA,0,-1,"Walk"
